Beta,Starting point,Iterations
0.24,70,7
0.24,75,7
0.24,80,7
0.24,85,7
0.24,90,7
0.24,95,7
0.24,100,7
0.25,-100,1
0.25,-95,1
0.25,-90,1
0.25,-85,1
0.25,-80,1
0.25,-75,1
0.25,-70,1
0.25,-65,1
0.25,-60,1
0.25,-55,1
0.25,-50,1
0.25,-45,1
0.25,-40,1
0.25,-35,1
0.25,-30,1
0.25,-25,1
0.25,-20,1
0.25,-15,1
0.25,-10,1
0.25,-5,1
0.25,0,1
0.25,5,1
0.25,10,1
0.25,15,1
0.25,20,1
0.25,25,1
0.25,30,1
0.25,35,1
0.25,40,1
0.25,45,1
0.25,50,1
0.25,55,1
0.25,60,1
0.25,65,1
0.25,70,1
0.25,75,1
0.25,80,1
0.25,85,1
0.25,90,1
0.25,95,1
0.25,100,1
0.26,-100,7
0.26,-95,7
0.26,-90,7
0.26,-85,7
0.26,-80,7
0.26,-75,7
0.26,-70,7
0.26,-65,7
0.26,-60,6
0.26,-55,6
0.26,-50,6
0.26,-45,6
0.26,-40,6
0.26,-35,6
0.26,-30,6
0.26,-25,6
0.26,-20,6
0.26,-15,6
0.26,-10,6
0.26,-5,6
0.26,0,5
0.26,5,6
0.26,10,6
0.26,15,6
0.26,20,6
0.26,25,6
0.26,30,6
0.26,35,6
0.26,40,6
0.26,45,6
0.26,50,6
0.26,55,6
0.26,60,6
0.26,65,7
0.26,70,7
0.26,75,7
0.26,80,7
0.26,85,7
0.26,90,7
0.26,95,7
0.26,100,7
0.27,-100,8
0.27,-95,8
0.27,-90,8
0.27,-85,8
0.27,-80,8
0.27,-75,8
0.27,-70,8
0.27,-65,8
0.27,-60,8
0.27,-55,8
0.27,-50,8
0.27,-45,8
0.27,-40,8
0.27,-35,8
0.27,-30,8
0.27,-25,8
0.27,-20,8
0.27,-15,8
0.27,-10,7
0.27,-5,7
0.27,0,6
0.27,5,7
0.27,10,7
0.27,15,8
0.27,20,8
0.27,25,8
0.27,30,8
0.27,35,8
0.27,40,8
0.27,45,8
0.27,50,8
0.27,55,8
0.27,60,8
0.27,65,8
0.27,70,8
0.27,75,8
0.27,80,8
0.27,85,8
0.27,90,8
0.27,95,8
0.27,100,8
0.28,-100,10
0.28,-95,10
0.28,-90,10
0.28,-85,10
0.28,-80,10
0.28,-75,10
0.28,-70,10
0.28,-65,10
0.28,-60,10
0.28,-55,10
0.28,-50,10
0.28,-45,9
0.28,-40,9
0.28,-35,9
0.28,-30,9
0.28,-25,9
0.28,-20,9
0.28,-15,9
0.28,-10,9
0.28,-5,8
0.28,0,8
0.28,5,8
0.28,10,9
0.28,15,9
0.28,20,9
0.28,25,9
0.28,30,9
0.28,35,9
0.28,40,9
0.28,45,9
0.28,50,10
0.28,55,10
0.28,60,10
0.28,65,10
0.28,70,10
0.28,75,10
0.28,80,10
0.28,85,10
0.28,90,10
0.28,95,10
0.28,100,10
0.29,-100,11
0.29,-95,11
0.29,-90,11
0.29,-85,11
0.29,-80,11
0.29,-75,11
0.29,-70,11
0.29,-65,11
0.29,-60,11
0.29,-55,11
0.29,-50,11
0.29,-45,11
0.29,-40,11
0.29,-35,11
0.29,-30,11
0.29,-25,11
0.29,-20,10
0.29,-15,10
0.29,-10,10
0.29,-5,10
0.29,0,9
0.29,5,10
0.29,10,10
0.29,15,10
0.29,20,10
0.29,25,11
0.29,30,11
0.29,35,11
0.29,40,11
0.29,45,11
0.29,50,11
0.29,55,11
0.29,60,11
0.29,65,11
0.29,70,11
0.29,75,11
0.29,80,11
0.29,85,11
0.29,90,11
0.29,95,11
0.29,100,11
0.3,-100,13
0.3,-95,13
0.3,-90,13
0.3,-85,13
